pnew,whan_class
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.373457406867,0
0.390162907434,1
0.390162907434,1
0.408875517678,2
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.408875517678,2
0.373457406867,0
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.429625827586,3
0.390162907434,1
0.390162907434,1
0.390162907434,1
0.373457406867,0
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.452416026369,4
0.408875517678,2
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.390162907434,1
0.429625827586,3
0.390162907434,1
0.390162907434,1
0.390162907434,1
0.390162907434,1
0.390162907434,1
0.373457406867,0
0.390162907434,1
0.408875517678,2
0.408875517678,2
0.390162907434,1
0.390162907434,1
0.452416026369,4
0.452416026369,4
0.373457406867,0
0.373457406867,0
0.373457406867,0
0.390162907434,1
0.452416026369,4
0.429625827586,3
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.373457406867,0
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.373457406867,0
0.452416026369,4
0.390162907434,1
0.373457406867,0
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.429625827586,3
0.390162907434,1
0.390162907434,1
0.408875517678,2
0.452416026369,4
0.390162907434,1
0.408875517678,2
0.390162907434,1
0.373457406867,0
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.408875517678,2
0.452416026369,4
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.429625827586,3
0.452416026369,4
0.373457406867,0
0.373457406867,0
0.452416026369,4
0.429625827586,3
0.390162907434,1
0.390162907434,1
0.452416026369,4
0.429625827586,3
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.408875517678,2
0.452416026369,4
0.373457406867,0
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.429625827586,3
0.390162907434,1
0.390162907434,1
0.429625827586,3
0.390162907434,1
0.452416026369,4
0.452416026369,4
0.373457406867,0
0.373457406867,0
0.452416026369,4
0.452416026369,4
0.373457406867,0
0.429625827586,3
0.390162907434,1
0.452416026369,4
0.390162907434,1
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.390162907434,1
0.390162907434,1
0.452416026369,4
0.373457406867,0
0.408875517678,2
0.452416026369,4
0.390162907434,1
0.408875517678,2
0.452416026369,4
0.390162907434,1
0.408875517678,2
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.452416026369,4
0.373457406867,0
0.390162907434,1
0.373457406867,0
0.373457406867,0
0.408875517678,2
0.390162907434,1
0.452416026369,4
