parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z
pnew[0],0.2824,0.0052,0.204,0.0216,0.1158,0.2379,0.407,0.7686,1542,1.0004,0.07818
pnew[1],0.2825,0.0048,0.1916,0.0279,0.1277,0.2443,0.398,0.7347,1596,1.0004,0.0826504081633
pnew[2],0.2829,0.0044,0.1793,0.0358,0.1403,0.2501,0.3938,0.7013,1668,1.0004,0.0871208163265
pnew[3],0.2838,0.004,0.1671,0.0435,0.1532,0.2563,0.3887,0.6719,1766,1.0005,0.0915912244898
pnew[4],0.2852,0.0036,0.1553,0.0535,0.1653,0.2625,0.3818,0.643,1902,1.0005,0.0960616326531
pnew[5],0.287,0.0031,0.144,0.0642,0.1773,0.2678,0.3772,0.6144,2092,1.0004,0.100532040816
pnew[6],0.2894,0.0027,0.1335,0.076,0.1892,0.2749,0.3738,0.5897,2366,1.0004,0.10500244898
pnew[7],0.2921,0.0024,0.1241,0.0877,0.1996,0.2813,0.3723,0.5667,2766,1.0003,0.109472857143
pnew[8],0.2953,0.002,0.1159,0.0995,0.2098,0.2864,0.3707,0.5473,3420,1.0002,0.113943265306
pnew[9],0.2988,0.0017,0.1092,0.1107,0.2203,0.2909,0.3696,0.5335,4261,1.0001,0.118413673469
pnew[10],0.3027,0.0014,0.1043,0.1208,0.2278,0.2953,0.3707,0.5242,5874,1.0,0.122884081633
pnew[11],0.3067,0.0012,0.101,0.1288,0.2339,0.3,0.3726,0.5211,6706,0.9999,0.127354489796
pnew[12],0.311,0.0012,0.0996,0.1351,0.2396,0.3044,0.3752,0.5209,7015,0.9999,0.131824897959
pnew[13],0.3153,0.0012,0.0997,0.1389,0.243,0.3089,0.3796,0.5261,6729,0.9998,0.136295306122
pnew[14],0.3196,0.0014,0.1012,0.1436,0.2473,0.3131,0.3854,0.5352,5131,0.9998,0.140765714286
pnew[15],0.3238,0.0016,0.1037,0.1426,0.2494,0.3166,0.3918,0.5453,4146,0.9999,0.145236122449
pnew[16],0.328,0.0018,0.107,0.1411,0.2505,0.321,0.3979,0.5563,3473,0.9999,0.149706530612
pnew[17],0.3319,0.002,0.1108,0.1393,0.2515,0.3248,0.4056,0.5683,3002,1.0,0.154176938776
