beta0,beta1,beta2
-0.590440737056,0.333778217821,-0.0503811337339
-1.27738894835,1.24415020029,-0.244288244895
-0.625080774761,0.25325417954,-0.0286910427168
-0.924722936184,0.748864502385,-0.13379553785
-0.744561758298,0.454906054721,-0.0892464047626
-0.855293162238,0.584230693323,-0.110604815133
-0.438267250582,0.37265254358,-0.0787378134049
-0.614732693921,0.556131299237,-0.10494784805
-0.771627392291,0.0905368536437,0.0348352433808
-1.01256015011,0.662638971217,-0.111208150122
-1.3418393299,0.842053402461,-0.127311846467
-0.972572322557,0.494398700145,-0.0712695538034
-0.811244171264,0.242580165333,-0.0206348142516
-0.714696282839,0.492199115763,-0.0813353534414
-0.532287525439,-0.0428124360458,0.0263730756519
-0.429811701277,0.445709701604,-0.0991846062142
-0.73794957923,0.311030407383,-0.0449320878248
-0.687339512426,0.287823534426,-0.0366058036257
-0.800365331484,0.405071911363,-0.0598468656791
-0.539901943632,0.281516124528,-0.0488104359606
-0.938439145434,0.33872877313,-0.0389581061843
-0.37994198744,-0.0384313386062,0.0299534031113
-1.1073679471,0.969412027086,-0.168848078971
-0.538459429582,0.21599335886,-0.0315866843327
-0.761881923421,0.497223961307,-0.0999014309998
-0.810387545749,0.630590466969,-0.120500599554
-0.497862705586,0.457962409703,-0.100227321757
-0.65619086463,0.419729669795,-0.0680158707975
-0.982895281312,0.72477261533,-0.127093546188
-0.746483393514,0.206801244567,-0.032434538344
-0.362003707283,-0.0859020058517,0.0688591130055
-1.00168755753,0.558693575035,-0.100865483754
-0.563292499528,0.149925169775,-0.0231880137346
-0.960762497227,0.696420762538,-0.11859600224
-0.60009378921,0.119031736925,-0.0195083023849
-0.568064978021,0.253465240394,-0.0382101013518
-0.652887538965,0.242107044956,-0.0337244530282
-0.634347191531,0.468270760948,-0.0839557661902
-0.781904922248,0.248976152872,-0.033502554132
-0.564223126146,0.122420715371,0.00498460701437
-0.291134457715,-0.117693019517,0.0444875204704
-0.903105755928,0.646365088545,-0.117439061924
-0.523078383438,-0.00329531527198,0.0282785243102
-0.484714751617,0.265068863366,-0.0603406919899
-0.829482209872,0.549470942558,-0.0926503529537
-0.654801727448,0.111721755873,0.00181638707784
-0.623941394829,0.491553500465,-0.0770980046206
-0.422784736,0.195601338884,-0.0331833598485
-0.523623716688,0.227753361659,-0.0310156889937
-0.712042343965,0.514818967175,-0.102542040589
-0.862051561634,0.625095342762,-0.117296739366
-0.610169784411,0.446973237453,-0.0743921406502
-0.78948534178,0.423457343736,-0.0778040603362
-0.772301754361,0.417701096732,-0.0714430507288
-1.06539437901,0.773047115796,-0.130432767929
-0.82726444453,0.428097102243,-0.0567528764488
-0.602060398395,0.207561006129,-0.00338612274748
-0.681168651051,0.414095039098,-0.0491395903201
-0.523337956479,-0.0248663035866,0.0245493137826
-0.517924898094,0.125281203356,-0.0344461995085
-0.628313336521,0.211714494848,-0.0221127860947
-0.482003756414,0.275293820427,-0.0348439372237
-0.682563570561,0.179607972621,0.00410608218747
-0.793870576493,0.581898837203,-0.11425779001
-0.524263127713,0.0628829380345,-0.0125010696838
-0.414744847114,-0.0906141674939,0.0426286753351
-0.442571305946,0.112612884777,-0.0128110561494
-0.792568123879,0.513161713428,-0.0912475882067
-0.527947458632,0.0406355928366,0.0208012532902
-0.417960830296,0.271272491685,-0.0615920779111
-0.407796948859,-0.0120913583061,0.0039138641177
-0.483001714139,0.360440800619,-0.0865762801182
-0.479549434692,0.186689640115,-0.0075005779603
-0.807206877516,0.656616834907,-0.128367483533
-0.939898154353,0.648125698342,-0.133533935516
-0.178725949727,-0.243979020308,0.0752369015479
-0.350667912876,0.129914081959,-0.0327902312255
-0.656892159186,0.215124714687,-0.0345166194598
-0.560357831403,0.216818062358,-0.0236217106615
-0.336382233238,0.310898899128,-0.0622991186929
-0.928383194132,0.424706502418,-0.0592341031605
-0.444039322569,0.309426180195,-0.056950560293
-0.977752091877,0.798191179217,-0.149145548758
-0.389664489604,-0.0850375514001,0.0257225862831
-0.62998168775,0.38389315042,-0.0563002195685
-0.562669745056,0.35517643845,-0.0730249338187
-1.03480919118,0.571789298588,-0.0767702285153
-0.570016972312,0.382674815413,-0.067046527527
-0.651197166536,0.333668005791,-0.0511886389182
-1.10674133893,1.09646172416,-0.217790752245
-0.484804072286,0.327603177703,-0.0604004461811
-0.816870344192,0.568284237274,-0.102244687333
-0.531167708184,0.22948973282,-0.0366660472714
-0.494808115964,0.135564039387,-0.0238794885768
-0.665030962565,0.397263835537,-0.0791442446608
-0.595844904618,0.139562955439,-0.00396197635009
-0.466724381288,0.296156658258,-0.0854039973305
-0.557094696248,0.433296633606,-0.0826427899075
-0.827543364712,0.581404332241,-0.0950851425911
-0.644179480268,0.193923204399,-0.0205583164576
-0.559892123866,0.476357883978,-0.1143940815
-0.61410232899,0.486024936337,-0.108498377823
-0.318905328329,0.188658116396,-0.044285943948
-0.731144976155,0.371414496637,-0.0702713171487
-0.765619869342,0.324764883016,-0.0327699529033
-0.890600787934,0.557846671952,-0.075656594203
-0.669312716466,0.490514955024,-0.0845408382186
-0.53714122681,0.498841778238,-0.103415330048
-0.587778113703,0.449267245372,-0.0717189181533
-0.944932092597,0.899089097652,-0.182143681885
-0.51296731342,0.420676833663,-0.0838147400833
-1.23278742937,0.905296787309,-0.167582392652
-0.582019062633,0.163567840221,0.00322109857587
-0.4765441182,0.102200755784,-0.00417518011968
-0.977721470395,0.59410852685,-0.10612812218
-0.607260335675,0.0585040551683,0.0126849681046
-0.37429009183,0.162523611228,-0.0293983921404
-0.571103992306,0.132858934818,-0.0119916228412
-0.736063000884,0.349127147906,-0.0594520413375
-0.851676569844,0.280565521731,-0.0288698859581
-1.18665906659,0.727137211673,-0.118926479903
-0.545760985111,0.125234247774,-0.0128895816348
-0.581695760981,0.184022306028,-0.0333366958625
-0.60416596886,0.419332570577,-0.0912133253433
-0.719357897518,0.53148190992,-0.106392168342
-0.508565884661,0.150991743674,-0.0156130469778
-0.551738636474,0.340571584069,-0.0645186162244
-0.74155465436,0.471418585312,-0.0808773786165
-0.279133816842,0.431201558946,-0.104971917394
-0.674568824476,0.383813264869,-0.0605146624938
-0.730102793476,0.42021415992,-0.0717627746163
-0.760453457075,0.548422129057,-0.114655541223
-1.09667024064,0.896828944119,-0.172789253257
-0.812373164337,0.503162343654,-0.102935033023
-0.716051778985,0.436282244497,-0.0669084020788
-0.960764742858,0.783449553761,-0.15709099192
-0.486927310941,0.228147016481,-0.0302896162374
-0.632157108096,0.174998391061,-0.027093164073
-0.27920716904,0.0417928330826,-0.00427617678096
-0.605561347079,0.42681717316,-0.0938417347411
-0.707595098897,0.436857275195,-0.0695158000492
-0.86291547467,0.762239813763,-0.149313634101
-0.951463185113,0.420338075478,-0.0598976101003
-0.511684611451,0.174968445683,-0.0255770447761
-0.711815584902,0.312960712748,-0.0354402203477
-0.922594047092,0.356186977119,-0.0333947067218
-1.01192275932,0.890447662597,-0.178203596834
-0.759414197176,0.388043179594,-0.0642147917121
-0.587800509115,0.489740732849,-0.0956297751355
-0.38787551482,-0.106090664807,0.043469679479
-0.647606041289,0.288146095862,-0.0393768692806
-0.676147032602,0.386020770084,-0.0728162955217
-1.18876764184,0.798684677464,-0.146086607115
-0.475556639573,0.0505930046588,-0.000703221008607
-0.431178392458,-0.0919411606417,0.0356750026175
-0.571370415926,0.37481202241,-0.0676198645762
-0.62102694769,0.343000438538,-0.0601026010005
-0.815036423346,0.171100344818,0.00944205187095
-0.759546825755,0.362851662381,-0.060542935604
-0.470532788199,-0.0310228571763,0.0297350166383
-1.00263723312,0.809169428217,-0.157597028964
-0.572336634413,0.30068520186,-0.0411768253135
-0.95672098875,0.36925201895,-0.0385709491116
-0.711534547991,0.492382888028,-0.0686621651266
-0.629015420533,0.339652599448,-0.0383283139889
-0.747682482196,0.619226141527,-0.111338410304
-0.565855521106,0.252097783702,-0.0213857004082
-0.375297389516,0.0243249150661,0.000474407123632
-0.427099948753,0.17712466557,-0.0462858095498
-0.490270435697,0.144124204765,-0.00297067540795
-0.691645298039,0.354355005192,-0.0571950635156
-0.725668490536,0.29700904905,-0.0336320466003
-0.616723608458,0.194011528068,-0.0130652725751
-0.575478381824,0.366847912586,-0.0853860475085
-0.634676872826,0.474817532861,-0.111641837771
-0.742702714301,0.799561676948,-0.191238311027
-0.764906345411,0.433663949416,-0.0718965412319
-0.5986257655,0.49313454692,-0.107768019389
-0.748097318815,0.300883730718,-0.0177006935374
-0.626640428136,0.147144517449,0.00522439072417
-0.969541328301,0.747752215755,-0.129981558978
-0.39696751231,0.313503647929,-0.046827080899
-0.958088142907,0.702490485286,-0.131830152108
-0.620493742023,0.278835565387,-0.0424343847926
-0.505569905349,0.171878951368,-0.0432886801973
-0.755125781245,0.465872423492,-0.0728472200544
-0.573522327862,0.531095481353,-0.108312740691
-0.655454807286,0.205480954585,-0.0193905198535
-0.609451720381,0.219638102778,-0.0163214855054
-0.715623760665,0.325971333902,-0.0459132646937
-0.726168387849,0.349547396958,-0.0549375709043
-0.406834650197,-0.138766168467,0.0527305459612
-0.654924480617,0.0311053347757,0.0338359418831
-0.649625579249,0.208053663595,-0.00587088518226
-0.8973457376,0.759294002607,-0.142927042535
-0.561229217105,0.137417242389,-0.0154717575726
-0.872222248841,0.504565065177,-0.0784906679626
-0.694550146951,0.295354456329,-0.0355703097088
-0.536293946175,0.325508928834,-0.0660867098238
-0.51806534678,0.570956345772,-0.136719220197
