beta0,beta1,beta2,beta3
-4.89828961046,35.3982978422,-72.2616877371,0.0719507923378
-10.6652078255,14.5633245878,-31.6018346304,0.812791772894
-1.66434859174,7.64454444692,-10.361780254,0.0226461054697
-9.93603175705,20.8023612363,-50.4343092393,0.721488871015
-9.55085773755,19.6572346019,-40.0853588842,0.668573365773
-5.42893389353,35.7833572105,-77.4569391395,0.140057967171
-4.79545888609,25.5348476688,-43.9878921923,0.138611069134
-12.0951484557,14.5920826272,-37.0235072911,0.966556805366
-3.84250975948,10.8012976315,-13.6460849445,0.200388831108
-6.96516837058,26.6418854841,-61.5359227633,0.3611432205
-7.78406066583,21.6722881032,-51.5396967908,0.510299087184
-8.7348506695,14.7191010438,-30.405544494,0.636502079397
-10.8055611119,19.497823154,-49.1128864301,0.799861906031
-0.674688242613,26.5763332487,-52.7749373808,-0.236702387114
-3.90068473368,24.9865836453,-57.992099845,0.0995700058364
1.7794996858,22.6187339919,-37.2939844382,-0.452632125238
1.41153689708,22.5203323142,-40.9136074591,-0.406012636142
-4.06443621219,24.2377973079,-50.005609149,0.107320034651
-8.89035497036,13.496213707,-30.1633215954,0.66754370917
-6.41530704494,31.0599598474,-71.6776185917,0.269162998643
-8.77531703829,27.215184723,-59.5815716388,0.536777335532
2.38810766508,19.2453471625,-29.6065806656,-0.45742518369
-10.3063181009,23.9934076925,-54.5318166111,0.708228880671
-1.06467164148,30.366917009,-63.1611097168,-0.243092969441
-5.89131169942,29.2914187612,-62.9074135088,0.237426991781
-2.83877762609,32.2790639516,-65.5220849192,-0.0858064112876
-8.16657452483,22.8337524256,-52.7235494433,0.509832816179
-1.14950498958,32.1310900887,-59.2050023666,-0.257086476583
-13.002622599,13.1573395741,-26.6747508898,1.03992853512
-4.42128745177,28.5806516057,-61.7809096809,0.110739376962
-5.09539195124,26.5615337452,-51.0048067867,0.174135374105
-4.58175256663,24.1565765844,-54.762162347,0.175828971983
-7.88872944249,25.9246772915,-55.1843880494,0.453649028698
-9.462669514,17.2841659887,-34.2352341646,0.663617893371
-4.82853404606,35.6710350968,-75.7182400691,0.0716108273006
-7.25150236407,36.6066939774,-93.49220938,0.352154128695
-6.52236465231,20.6288247011,-43.8043939858,0.368183702631
2.23997715351,10.6721403858,-12.5197734418,-0.369491203295
-8.7077570348,9.83602517106,-17.4796594886,0.66180908944
-2.32984860252,34.2765222762,-73.2156545693,-0.137553928596
-11.5419382552,10.4407042244,-24.2986795943,0.94523202295
-7.22271423457,7.97539997338,-16.1943092626,0.559811448753
-1.61051401477,12.7514966303,-19.8927464993,-0.0300032712526
-9.4513485559,2.51262181281,-1.21039649261,0.805697730359
2.76375556754,33.2670141162,-60.8992672239,-0.631565213944
-4.2552780697,46.5823396143,-101.179561753,-0.0856496558289
-8.98376479896,23.433182093,-53.6052821444,0.598134333277
-2.61190693623,17.0169224678,-28.7393301834,0.013019317035
-2.59661179835,42.0139300794,-86.9063306241,-0.198801688296
2.39805983567,18.9266256154,-29.6745649845,-0.46038092662
7.88829611716,26.8567788129,-51.494046272,-1.05781289069
-3.04849501701,14.0309528215,-31.0943597973,0.129490841778
-3.09775622156,34.5253170434,-75.7442683183,-0.0565585518556
-0.391139605664,28.9588299078,-64.1430567371,-0.259740669746
-4.52243527698,13.6344237339,-20.5170943027,0.245850000816
-10.9028441085,22.8486700105,-53.1014671744,0.783821127797
-0.303688407264,26.9523699301,-51.5822842736,-0.291596432634
-1.70954360657,26.7302611828,-54.4053675458,-0.134387568993
-3.14243657803,24.4464758462,-50.0731614987,0.0153766262299
-5.81185623948,24.5980292272,-47.3877864635,0.258948875493
-8.98052524642,32.1325706712,-76.6053246724,0.513059055127
-0.175628695909,28.7505161019,-54.9553928508,-0.312370888062
-2.17624582124,17.9188381176,-37.0380543441,-0.00827736234627
-7.76934405641,15.3559517173,-32.8947451341,0.552466842255
-7.46698672631,22.0541161458,-43.8128756051,0.42825365769
-12.3994448079,2.79161308377,-9.50040802982,1.09196213194
-2.47938205363,5.09208142976,-7.31555982667,0.15028677927
-13.5657973508,10.8651010694,-32.62139715,1.15260507329
-0.110180789841,45.3114113366,-93.8506667293,-0.474001578282
-9.3479928104,25.0308830135,-54.8179824312,0.599871606205
-6.63892751802,28.1218041216,-57.227016884,0.305744981443
-4.09938572209,23.5297863054,-49.34371258,0.121822124383
-6.14276979172,17.1415754025,-36.6114704769,0.374232392633
-9.16365172477,25.3812744546,-58.600737543,0.603162583008
-5.52684344635,27.5009096345,-52.0619607994,0.191262929169
-2.41156713501,17.1249111686,-28.7755289727,0.00254888289392
-4.51774537489,30.9747064927,-66.3771480631,0.094630890799
-6.06708324864,29.3624159916,-61.3310291745,0.219649073699
-7.20382323742,12.8057517288,-21.9349023923,0.50407422651
-5.55624078261,7.92542042888,-6.94925668181,0.384465177094
-0.214326276183,29.3999550459,-53.5124832672,-0.320838591681
1.63910152823,20.1776061225,-32.6109326942,-0.401131549433
-2.57533018743,34.1858802726,-72.9274541286,-0.124217612564
0.564235705043,20.6485780155,-32.1960928691,-0.32421797271
-10.5580968627,16.8943209767,-37.6852647495,0.784929223187
-6.31441173848,19.5070056133,-29.8364037399,0.319819119417
4.05128899603,14.2601192694,-23.4080633134,-0.569884848728
-5.88591650609,42.9743737117,-98.1995961831,0.12765394434
-7.91085683406,32.9910458238,-70.322559338,0.387711834467
1.38639736881,27.0548060953,-55.3858800552,-0.41514090885
3.71153554629,17.0262158524,-24.0278947065,-0.596838345325
-8.0988093881,20.0343230041,-44.2335464022,0.534535695311
-9.83389216649,21.8826606038,-53.0282351879,0.696766809488
-17.1164614057,12.9250045085,-38.9100438434,1.48914171277
-4.0966140941,5.92164421444,-9.03127365375,0.276178827546
-1.09915619219,8.64280047295,-13.6470163936,-0.0205207727581
1.23522542814,47.7810466586,-100.405482436,-0.605500790216
-9.6925562248,26.0815036736,-54.6379845697,0.618761135473
-3.72402225245,26.1503599768,-51.7427554062,0.0590929579704
-0.120010986627,5.45541998222,1.13035533607,-0.127290327208
1.08483142125,30.4721475366,-59.8125338782,-0.449128392618
-6.67099504358,10.0373569479,-15.727753275,0.47715651549
5.01861072379,24.3473064904,-44.2901720299,-0.74999556672
3.87005090093,19.0725608368,-25.6458121341,-0.620525854584
-13.9230627677,17.9677683915,-42.1762322796,1.09870439412
2.4316647281,29.5405825179,-60.6229816578,-0.555030620978
-2.46154446158,26.2560239616,-55.59424336,-0.0485082779652
-3.3649350349,30.1229371982,-56.0543391106,-0.0258682883896
-4.5453774342,5.11704549125,-5.6417000063,0.326631389071
0.226436773822,52.1701233894,-112.021708791,-0.555577553743
-7.58651442085,9.18548188273,-17.7204184204,0.582660273383
-2.46701017936,16.793596214,-29.2856192192,0.00451387474101
-11.0473532734,7.90984012357,-25.2412230135,0.952566100818
-6.03454304762,14.4182555186,-26.043174321,0.383666169362
-8.55412438156,38.2043719088,-87.0321992829,0.43194495807
-2.7082550168,33.0723493806,-74.0789412537,-0.0864559244179
-8.06998223139,-1.85005346891,11.4903669378,0.711963031427
-5.06329540013,0.727346144901,7.31481745393,0.39033413093
-0.550251295084,19.9122511546,-29.6151227479,-0.188111539666
-10.7389854337,9.40127070264,-27.2491407421,0.900239194488
-7.83050638864,7.82150949363,-14.3739720367,0.605123634907
-9.50134945519,32.2250002728,-80.6631090865,0.585036059503
-1.94700408398,33.0621714671,-60.9361611967,-0.212332522879
