wavelength,flux,best_fit,gas_bestfit
4350.222040526853,0.17614771122574338,0.23608677292755553,8.404686209889523e-07
4351.208207955874,0.2156234073639772,0.6046364485237246,8.006626274963457e-07
4352.194375384896,0.26565292970478055,0.37346260056381064,7.589044577389637e-07
4353.180542813918,0.21605888259241673,0.9066835241660802,7.157051514776878e-07
4354.16671024294,0.34510472337494924,0.6376249884768784,6.715690542469942e-07
4355.1528776719615,0.2584798948142184,0.6063964796375206,6.269843516898175e-07
4356.139045100983,0.15607089886602743,0.7332521339302247,5.824145575895667e-07
4357.125212530005,0.17431981753775486,0.7401274680937666,5.38291145162018e-07
4358.111379959027,0.2193727657395831,0.6756464806954102,4.950074602493787e-07
4359.097547388048,0.23076465884811168,0.6621369606421625,4.529140021392566e-07
4360.08371481707,0.22413639255214216,0.6983132617398229,4.123151052500044e-07
4361.069882246092,0.18610505060943194,0.7143676218566761,3.7346700512519296e-07
4362.056049675114,0.1381569437319729,0.6825914419659025,3.365772270089702e-07
4363.0422171041355,0.14576770250384666,0.6411064505084547,3.018051962985528e-07
4364.028384533157,0.22792010124551715,0.6432297567927808,2.6926393852890316e-07
4365.014551962179,0.3224122922096431,0.7053838919788036,2.390227129239676e-07
4366.000719391201,0.30238513223726066,0.7972595406345803,2.1111040819010354e-07
4366.986886820222,0.27285890053473727,0.8688655400970027,1.855195219537911e-07
4367.973054249244,0.3769029770700841,0.8850394190369635,1.6221054551792223e-07
4368.959221678266,0.32996898698210303,0.8432980151796379,1.4111658258904058e-07
4369.945389107288,0.26287817973333044,0.7691144932802472,1.2214804325075898e-07
4370.9315565363095,0.29926828927665994,0.6975029375712545,1.0519727152289262e-07
4371.917723965331,0.23112315781213952,0.6543049581046576,9.014298508482424e-08
4372.903891394353,0.2164865794345836,0.6465178938616695,7.685442789913829e-08
4373.890058823375,0.24315087841640243,0.6637412984030033,6.519515936395954e-08
4374.876226252397,0.18404119029292274,0.6870368934690229,5.5026426190780304e-08
4375.862393681418,0.15134101032485867,0.6993005651074891,4.621008455113698e-08
4376.84856111044,0.23055957325737977,0.6923170704953334,3.861105944722792e-08
4377.834728539462,0.2617432617407002,0.668422304115315,3.209934521956127e-08
4378.8208959684835,0.23554179154114463,0.6374484881711597,2.6551565281605635e-08
4379.807063397505,0.1513065610228893,0.6112964946023414,2.185212041867891e-08
4380.793230826527,0.1293615613280134,0.598775491666268,1.78939633155319e-08
4381.779398255549,0.18147865835243399,0.6025860477545424,1.4579042526034449e-08
4382.765565684571,0.2179389489199925,0.6190892944794333,1.1818462113758102e-08
4383.751733113592,0.2282821382698961,0.6403701451822289,9.532403992231668e-09
4384.737900542614,0.2345206779596206,0.6574280073085241,7.649858940849202e-09
4385.724067971636,0.23808497523007618,0.6632141548137994,6.108209748049295e-09
4386.710235400657,0.13325988508109826,0.6545683457326218,4.8527063150157405e-09
4387.696402829679,0.11216208467153486,0.6326632185022658,3.83586819624567e-09
