CATAID,Z,<logAge>,<[M/H]>,MASS2LIGHT_R
536903,0.18071,9.934328185423754,-0.1953410620249293,3.520447352090261
422871,0.20865,9.790789175153465,-0.3577686012634777,2.227044024982546
49358,0.18803,9.797109882585778,-0.8023516827372172,1.7907591476559102
3909928,0.26254,9.883708104175929,-0.19552637740601042,3.086334137614009
383050,0.20122,9.809135295770965,-0.25684154390742825,2.454148522334109
3623290,0.15422,9.79382854369545,-0.6334412799385045,1.9092845027101666
3584590,0.17239,9.953855196318074,-0.1946221226849739,3.6959903528797518
619222,0.21629,9.659117757608858,-0.23025784053438536,1.427708913170451
417755,0.19588,9.834319082026248,-0.20349909299040134,2.692256771902917
