CATAID,Z,<logAge>,<[M/H]>,MASS2LIGHT_R
536903,0.18071,9.802521890637143,-0.2859981897983047,2.379138150061981
422871,0.20865,9.736272381711183,-0.709579865668062,1.6078203787972443
49358,0.18803,9.78529883047048,-0.31172206671365893,2.1742277924188405
3909928,0.26254,9.804188849456295,-0.23310054704582378,2.4496753944048577
383050,0.20122,9.82631738970397,-0.22618903368415366,2.6081023693141683
3623290,0.15422,9.644039316493409,-0.6821881529099699,1.1199787633403584
3584590,0.17239,9.841312948371247,-0.20245256046554644,2.7453532039923263
619222,0.21629,9.682776043358238,-0.2669183843802624,1.3394386881610205
417755,0.19588,9.730161543835022,-0.6164007406912554,1.628001849516191
