CATAID,Z,<logAge>,<[M/H]>,MASS2LIGHT_R
536903,0.18071,9.90373196636335,-0.1954466936614197,3.254693802079146
422871,0.20865,9.865911004845358,-0.19518037307715194,2.944867253273856
49358,0.18803,9.780211990667606,-0.6320682326172942,1.7881030400863704
3909928,0.26254,9.830731036266721,-0.19648542482546502,2.6772775623829155
383050,0.20122,9.798862568334837,-0.23438132452013413,2.412516094606409
3623290,0.15422,8.807385286903424,-1.040355974130115,0.3220548846121241
3584590,0.17239,9.877223355566144,-0.195503259078799,3.0346240615352706
619222,0.21629,9.63138445532025,-0.22783589615431837,1.2808375218396224
417755,0.19588,9.832477861840063,-0.19835928305109546,2.6864982891131075
