beta0,beta1,beta2,beta3
-4.6387145035,29.4188664153,-57.1304183454,0.0910979246775
-5.88366144513,16.7107064521,-31.9331530806,0.345366126643
-8.53696303104,6.6240696152,-10.9324155317,0.674012182115
-0.193262098591,44.1984163218,-95.2733520262,-0.432466221937
-3.35614738551,10.5644074055,-12.672918365,0.141187132117
-8.73308955395,14.9559854272,-39.1248379555,0.650130202899
-5.18454769383,43.3654886135,-98.3539498601,0.0582697617097
0.857352154069,10.7733744033,-14.6788577409,-0.236513987096
-1.11689105269,25.3491391176,-53.9687265293,-0.154997977908
-6.6794922995,3.58444924024,-5.7264566346,0.541474321896
-2.97686041271,40.3799310102,-93.0169549182,-0.117945505733
3.69240522867,34.6269679991,-67.1675409972,-0.721623498367
-7.77996423402,13.1405697232,-27.6847632271,0.572845044023
-5.20936441448,18.3652442077,-37.451397907,0.254367171415
-8.79870395659,34.4841800733,-85.6379417604,0.487571889512
1.30931721967,11.6736677344,-10.1682343646,-0.311686806326
-6.51100258238,20.7157502709,-43.8641351066,0.387120089331
0.0853100554768,33.6486422958,-63.9604025686,-0.389453684551
-1.56403274322,32.5335030617,-63.9731782701,-0.219130558164
0.615427993364,25.7049792119,-51.4143090844,-0.34605780067
-6.40319304424,22.8780609846,-51.6224638337,0.353275934598
-4.06454838869,23.5714353371,-46.296729828,0.0978200334345
-1.00948426945,35.8759847202,-63.6054125554,-0.312136916765
-1.54213929323,18.6646550607,-31.814984256,-0.0953714708166
-4.05675601263,23.1990396198,-51.6374032493,0.140626393939
-4.49587824747,29.2424348372,-63.5191397865,0.123992883774
-2.99041613268,15.3976204852,-32.6696291829,0.0944336660562
-7.34557979472,24.6423961841,-53.5953207961,0.427546961009
-4.46317300647,26.4471880963,-60.4241716819,0.147946844695
-7.12130547292,15.0640042865,-36.4530875475,0.502925843904
-7.00242616787,12.3420550325,-24.4239211928,0.488957913739
-9.44635485488,24.6033619452,-53.2614604234,0.607624387288
-1.45822088203,30.97421279,-62.2268808511,-0.20980583949
-4.36278313935,36.7732957638,-80.0913395286,0.01331427746
-5.04169968956,-2.8081271354,14.5382088873,0.425711010771
-2.58626464657,23.8602921737,-47.6528472012,-0.0312708323513
-2.48264016546,13.3731349461,-21.3061901056,0.048479668951
-3.10324374888,17.0479245822,-28.1580846316,0.0757166387403
-6.11238629036,38.2452212538,-84.3428149531,0.188527915363
-0.00297604828145,18.6904168456,-30.6807092786,-0.233677277161
-2.98970489735,15.826009119,-21.0847560693,0.0452436463285
-1.87812631256,35.1996120571,-77.4728741854,-0.190348088547
-4.69022272574,44.6156281058,-97.9473287703,-0.00839441068502
-7.64051683874,23.2264923889,-45.5067471576,0.438281494591
-5.24371997862,24.3189573637,-52.8245363236,0.219218793584
-8.92876927913,37.8179561083,-91.5501485031,0.489367276999
-15.4613443864,10.3769585331,-25.1971084668,1.30927237586
2.40580169366,29.5239995753,-56.6361707801,-0.549566501619
-9.51583581879,7.27345162832,-3.11438146903,0.752393450938
-8.48071356903,11.6913521426,-30.4975153025,0.666303652223
-7.28604149695,25.8455002793,-47.2075702611,0.365352923913
-4.23675910594,16.9631089613,-29.0589883965,0.194436471959
-1.18773302545,25.9136825013,-50.5470740895,-0.187355627828
-9.92482872935,11.4124395344,-19.66588612,0.785549937321
-8.74827016721,14.1738204433,-33.3389946493,0.653742410451
-4.16561291938,28.6454691478,-66.1292100471,0.0959334909891
-4.8826692321,50.7264858959,-111.300619938,-0.0594748544583
-1.72243606952,39.3998633017,-85.6415012518,-0.248738011518
-0.486698291844,25.1171158304,-45.3917184814,-0.260672370643
