pnew,redshift,stellar_mass
0.304851832854,0.13198,10.17424
0.337565438127,0.1387,10.79292
0.429921499293,0.17168,10.86496
0.472988370241,0.19304,10.7629
0.385266381637,0.15761,10.47142
0.409773775495,0.1647,10.73846
0.510198333801,0.21197,11.09289
0.511101206981,0.30252,11.10687
0.324863068398,0.13537,10.66641
0.193997521553,0.09512,10.24234
0.329446512656,0.13949,10.27466
0.531469348883,0.24746,10.79311
0.543024156086,0.25032,11.27254
0.381879044018,0.1541,10.76152
0.296508709565,0.12607,10.6908
0.443694473897,0.18159,10.4748
0.542239525168,0.26784,11.27319
0.424262945114,0.17122,10.66073
0.542038484736,0.25459,11.20208
0.2829310741,0.1231,10.46144
0.283042945194,0.12493,10.16117
0.513805320453,0.21629,11.01652
0.441349824634,0.17986,10.537
0.463656350616,0.18917,10.67362
0.341391944942,0.14224,10.46075
0.392377541959,0.15922,10.59988
0.39330949625,0.15789,10.80778
0.474813291677,0.19309,10.83921
0.297448915317,0.12634,10.69578
0.16928064858,0.08766,9.968707
0.343411333151,0.14224,10.5592
0.409116323718,0.16361,10.83619
0.471466833151,0.18989,10.95667
0.289720392462,0.12565,10.40048
0.41116514582,0.16997,10.20578
0.334037833313,0.1379,10.73888
0.297420425084,0.12851,10.34033
0.366828453616,0.14849,10.80315
0.542357005566,0.26635,11.2604
0.449018560694,0.17948,10.91491
0.340934517894,0.1411,10.60399
0.247842901463,0.11194,10.44253
0.521985925236,0.22472,10.98533
0.144684573381,0.0781,10.01845
0.393051436556,0.15898,10.66051
0.458528059301,0.18462,10.84984
0.293748601876,0.12743,10.32217
0.373217612705,0.14878,11.06444
0.535201830693,0.2427,11.03171
0.294644349146,0.12663,10.50041
0.36421400449,0.14935,10.56231
0.421957694922,0.16964,10.72955
0.214003945912,0.10123,10.37488
0.257254832472,0.11399,10.61834
0.32865841625,0.13734,10.55653
0.198856234769,0.09701,10.19763
0.444524687213,0.17944,10.71924
0.3073961162,0.13183,10.32935
0.232714561372,0.10782,10.29525
0.229861573171,0.10677,10.31688
0.498825141629,0.31204,11.16251
0.529093612213,0.2303,11.08855
0.49342040596,0.20215,10.97702
0.329751218198,0.13954,10.2824
0.516296937588,0.21891,10.995
0.159165544052,0.08398,9.951801
0.172406559623,0.08331,11.14931
0.405886139211,0.1634,10.71408
0.211542898418,0.10072,10.3137
0.492245560526,0.20726,10.58723
0.527176998832,0.28971,11.19294
0.391828496696,0.15779,10.7521
0.413524884272,0.16575,10.78699
0.538502543381,0.24193,11.19207
0.53841325223,0.25572,11.03858
0.46013338658,0.18509,10.87799
0.538385955407,0.26581,11.07906
0.535877850977,0.25255,10.9399
0.434407288996,0.34433,11.18123
0.145165562332,0.07801,10.08131
0.475694245176,0.19094,11.0545
0.477092533872,0.19868,10.50772
0.407005188017,0.16218,10.90988
0.526183773879,0.22637,11.10401
0.131749430537,0.0735,9.873794
0.310361505294,0.13299,10.29988
0.436837530253,0.1746,10.86527
0.458242252156,0.1857,10.73925
0.470398015882,0.18816,11.0581
0.458491875893,0.18468,10.84276
0.351326004123,0.14551,10.47654
0.538973207758,0.25423,11.06798
0.538436160853,0.25239,11.05386
0.17826814711,0.08985,10.19254
0.533228015646,0.27509,11.00248
0.532935824716,0.27502,10.98805
0.395513648077,0.16055,10.58128
0.249118880553,0.11204,10.49929
0.514578393045,0.30267,11.26814
0.418519470482,0.1671,10.8585
0.355008762983,0.14612,10.56808
0.378641592977,0.15322,10.7253
0.361239923686,0.14772,10.64379
0.513527703924,0.21834,10.90107
0.518319886232,0.22058,11.00491
0.516979652446,0.21927,11.00768
0.290109083827,0.12441,10.62719
0.276451397117,0.12318,10.09489
0.41277754518,0.1667,10.64443
0.303881250431,0.12911,10.58082
0.515246797866,0.29633,10.9633
0.48586424774,0.19724,11.0009
0.242162911544,0.11099,10.27942
0.35452706921,0.14435,10.79415
0.163313783595,0.08549,9.961367
0.50729884289,0.20919,11.12904
0.337117904651,0.13884,10.7501
0.182517499306,0.09112,10.24205
0.437885584422,0.17653,10.71375
0.321646300667,0.13534,10.50959
0.496207312739,0.20018,11.23853
0.435365558337,0.17507,10.75085
