parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z,LOG_STELLAR_MASS
prob01[1],0.292,0.007,0.141,0.066,0.178,0.279,0.398,0.568,430.0,1.005,0.06794,9.0
prob01[2],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.07760758620689655,9.0
prob01[3],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.0872751724137931,9.0
prob01[4],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.09694275862068966,9.0
prob01[5],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.1066103448275862,9.0
prob01[6],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.11627793103448275,9.0
prob01[7],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,430.0,1.005,0.1259455172413793,9.0
prob01[8],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.13561310344827587,9.0
prob01[9],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.1452806896551724,9.0
prob01[10],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.15494827586206894,9.0
prob01[11],0.292,0.007,0.141,0.066,0.178,0.278,0.398,0.568,431.0,1.005,0.1646158620689655,9.0
prob01[12],0.291,0.007,0.141,0.066,0.178,0.278,0.397,0.568,431.0,1.005,0.17428344827586206,9.0
prob01[13],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,431.0,1.005,0.18395103448275862,9.0
prob01[14],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,431.0,1.005,0.19361862068965516,9.0
prob01[15],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,431.0,1.005,0.20328620689655172,9.0
prob01[16],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.569,432.0,1.005,0.21295379310344825,9.0
prob01[17],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,432.0,1.005,0.2226213793103448,9.0
prob01[18],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,432.0,1.005,0.23228896551724137,9.0
prob01[19],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,432.0,1.005,0.2419565517241379,9.0
prob01[20],0.291,0.007,0.141,0.066,0.177,0.278,0.397,0.568,433.0,1.005,0.25162413793103444,9.0
prob01[21],0.291,0.007,0.141,0.066,0.177,0.277,0.397,0.568,433.0,1.005,0.261291724137931,9.0
prob01[22],0.291,0.007,0.141,0.066,0.177,0.277,0.397,0.568,433.0,1.005,0.27095931034482756,9.0
prob01[23],0.291,0.007,0.141,0.066,0.177,0.277,0.397,0.568,433.0,1.005,0.2806268965517241,9.0
prob01[24],0.29,0.007,0.141,0.065,0.177,0.277,0.397,0.567,434.0,1.005,0.2902944827586207,9.0
prob01[25],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.567,434.0,1.005,0.29996206896551725,9.0
prob01[26],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.567,434.0,1.005,0.3096296551724138,9.0
prob01[27],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.566,435.0,1.005,0.3192972413793103,9.0
prob01[28],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.566,435.0,1.005,0.3289648275862069,9.0
prob01[29],0.29,0.007,0.141,0.065,0.176,0.277,0.397,0.566,436.0,1.005,0.33863241379310344,9.0
prob01[30],0.29,0.007,0.141,0.065,0.176,0.277,0.396,0.566,436.0,1.005,0.3483,9.0
prob01[31],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.06794,9.068965517241379
prob01[32],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.07760758620689655,9.068965517241379
prob01[33],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.0872751724137931,9.068965517241379
prob01[34],0.297,0.007,0.138,0.072,0.186,0.285,0.401,0.563,430.0,1.005,0.09694275862068966,9.068965517241379
prob01[35],0.297,0.007,0.138,0.072,0.186,0.284,0.4,0.563,430.0,1.005,0.1066103448275862,9.068965517241379
prob01[36],0.296,0.007,0.138,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.11627793103448275,9.068965517241379
prob01[37],0.296,0.007,0.138,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.1259455172413793,9.068965517241379
prob01[38],0.296,0.007,0.138,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.13561310344827587,9.068965517241379
prob01[39],0.296,0.007,0.138,0.073,0.186,0.285,0.4,0.563,430.0,1.005,0.1452806896551724,9.068965517241379
prob01[40],0.296,0.007,0.137,0.072,0.186,0.285,0.4,0.563,430.0,1.005,0.15494827586206894,9.068965517241379
prob01[41],0.296,0.007,0.137,0.072,0.186,0.285,0.4,0.563,431.0,1.005,0.1646158620689655,9.068965517241379
prob01[42],0.296,0.007,0.137,0.072,0.185,0.285,0.4,0.563,431.0,1.005,0.17428344827586206,9.068965517241379
prob01[43],0.296,0.007,0.137,0.073,0.185,0.285,0.4,0.563,431.0,1.005,0.18395103448275862,9.068965517241379
prob01[44],0.296,0.007,0.137,0.073,0.185,0.284,0.399,0.563,431.0,1.005,0.19361862068965516,9.068965517241379
prob01[45],0.296,0.007,0.137,0.073,0.185,0.284,0.399,0.563,431.0,1.005,0.20328620689655172,9.068965517241379
prob01[46],0.296,0.007,0.137,0.073,0.185,0.284,0.399,0.563,432.0,1.005,0.21295379310344825,9.068965517241379
prob01[47],0.295,0.007,0.137,0.073,0.185,0.284,0.399,0.563,432.0,1.005,0.2226213793103448,9.068965517241379
prob01[48],0.295,0.007,0.137,0.072,0.185,0.284,0.399,0.563,432.0,1.005,0.23228896551724137,9.068965517241379
prob01[49],0.295,0.007,0.137,0.072,0.185,0.284,0.399,0.563,432.0,1.005,0.2419565517241379,9.068965517241379
prob01[50],0.295,0.007,0.137,0.072,0.185,0.284,0.399,0.563,433.0,1.005,0.25162413793103444,9.068965517241379
prob01[51],0.295,0.007,0.137,0.072,0.185,0.283,0.399,0.563,433.0,1.005,0.261291724137931,9.068965517241379
prob01[52],0.295,0.007,0.137,0.072,0.185,0.283,0.399,0.562,433.0,1.005,0.27095931034482756,9.068965517241379
prob01[53],0.295,0.007,0.137,0.072,0.185,0.283,0.399,0.562,433.0,1.005,0.2806268965517241,9.068965517241379
prob01[54],0.295,0.007,0.137,0.072,0.184,0.283,0.399,0.562,434.0,1.005,0.2902944827586207,9.068965517241379
prob01[55],0.295,0.007,0.137,0.071,0.184,0.283,0.399,0.562,434.0,1.005,0.29996206896551725,9.068965517241379
prob01[56],0.295,0.007,0.137,0.071,0.184,0.283,0.399,0.562,435.0,1.005,0.3096296551724138,9.068965517241379
prob01[57],0.295,0.007,0.137,0.071,0.184,0.283,0.399,0.562,435.0,1.005,0.3192972413793103,9.068965517241379
prob01[58],0.294,0.007,0.137,0.071,0.184,0.283,0.399,0.561,435.0,1.005,0.3289648275862069,9.068965517241379
prob01[59],0.294,0.007,0.137,0.071,0.184,0.283,0.399,0.561,436.0,1.005,0.33863241379310344,9.068965517241379
prob01[60],0.294,0.007,0.137,0.071,0.184,0.283,0.399,0.561,436.0,1.005,0.3483,9.068965517241379
prob01[61],0.301,0.006,0.134,0.079,0.194,0.291,0.403,0.559,429.0,1.005,0.06794,9.137931034482758
prob01[62],0.301,0.006,0.134,0.079,0.194,0.291,0.403,0.558,429.0,1.005,0.07760758620689655,9.137931034482758
prob01[63],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.558,429.0,1.005,0.0872751724137931,9.137931034482758
prob01[64],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.558,430.0,1.005,0.09694275862068966,9.137931034482758
prob01[65],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.558,430.0,1.005,0.1066103448275862,9.137931034482758
prob01[66],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.558,430.0,1.005,0.11627793103448275,9.137931034482758
prob01[67],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.558,430.0,1.005,0.1259455172413793,9.137931034482758
prob01[68],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.558,430.0,1.005,0.13561310344827587,9.137931034482758
prob01[69],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.557,430.0,1.005,0.1452806896551724,9.137931034482758
prob01[70],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.557,430.0,1.005,0.15494827586206894,9.137931034482758
prob01[71],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.557,430.0,1.005,0.1646158620689655,9.137931034482758
prob01[72],0.301,0.006,0.134,0.079,0.194,0.291,0.402,0.557,431.0,1.005,0.17428344827586206,9.137931034482758
prob01[73],0.3,0.006,0.134,0.08,0.193,0.29,0.402,0.557,431.0,1.005,0.18395103448275862,9.137931034482758
prob01[74],0.3,0.006,0.134,0.08,0.193,0.29,0.402,0.557,431.0,1.005,0.19361862068965516,9.137931034482758
prob01[75],0.3,0.006,0.134,0.08,0.193,0.29,0.402,0.557,431.0,1.005,0.20328620689655172,9.137931034482758
prob01[76],0.3,0.006,0.134,0.079,0.193,0.29,0.402,0.557,431.0,1.005,0.21295379310344825,9.137931034482758
prob01[77],0.3,0.006,0.134,0.079,0.193,0.29,0.401,0.557,432.0,1.005,0.2226213793103448,9.137931034482758
prob01[78],0.3,0.006,0.134,0.079,0.193,0.29,0.401,0.557,432.0,1.005,0.23228896551724137,9.137931034482758
prob01[79],0.3,0.006,0.134,0.079,0.193,0.29,0.401,0.557,432.0,1.005,0.2419565517241379,9.137931034482758
prob01[80],0.3,0.006,0.134,0.079,0.193,0.29,0.401,0.557,432.0,1.005,0.25162413793103444,9.137931034482758
prob01[81],0.3,0.006,0.134,0.079,0.193,0.29,0.401,0.557,433.0,1.005,0.261291724137931,9.137931034482758
prob01[82],0.3,0.006,0.134,0.079,0.193,0.29,0.401,0.558,433.0,1.005,0.27095931034482756,9.137931034482758
prob01[83],0.3,0.006,0.134,0.078,0.193,0.29,0.401,0.557,433.0,1.005,0.2806268965517241,9.137931034482758
prob01[84],0.299,0.006,0.134,0.078,0.193,0.289,0.401,0.557,434.0,1.005,0.2902944827586207,9.137931034482758
prob01[85],0.299,0.006,0.134,0.078,0.192,0.289,0.401,0.557,434.0,1.005,0.29996206896551725,9.137931034482758
prob01[86],0.299,0.006,0.134,0.078,0.192,0.289,0.401,0.556,435.0,1.005,0.3096296551724138,9.137931034482758
prob01[87],0.299,0.006,0.134,0.078,0.192,0.289,0.401,0.556,435.0,1.005,0.3192972413793103,9.137931034482758
prob01[88],0.299,0.006,0.134,0.078,0.192,0.289,0.401,0.556,436.0,1.005,0.3289648275862069,9.137931034482758
prob01[89],0.299,0.006,0.134,0.078,0.192,0.288,0.401,0.556,436.0,1.005,0.33863241379310344,9.137931034482758
prob01[90],0.299,0.006,0.134,0.078,0.192,0.288,0.401,0.556,437.0,1.004,0.3483,9.137931034482758
prob01[91],0.306,0.006,0.13,0.087,0.203,0.298,0.405,0.553,429.0,1.005,0.06794,9.206896551724139
prob01[92],0.306,0.006,0.13,0.087,0.203,0.298,0.405,0.553,429.0,1.005,0.07760758620689655,9.206896551724139
prob01[93],0.306,0.006,0.13,0.087,0.203,0.298,0.405,0.553,429.0,1.005,0.0872751724137931,9.206896551724139
prob01[94],0.306,0.006,0.13,0.087,0.202,0.298,0.405,0.553,429.0,1.005,0.09694275862068966,9.206896551724139
prob01[95],0.306,0.006,0.13,0.087,0.202,0.298,0.404,0.553,429.0,1.005,0.1066103448275862,9.206896551724139
prob01[96],0.306,0.006,0.13,0.087,0.202,0.297,0.404,0.553,429.0,1.005,0.11627793103448275,9.206896551724139
prob01[97],0.306,0.006,0.13,0.087,0.202,0.297,0.404,0.552,429.0,1.005,0.1259455172413793,9.206896551724139
prob01[98],0.306,0.006,0.13,0.087,0.202,0.297,0.404,0.552,430.0,1.005,0.13561310344827587,9.206896551724139
prob01[99],0.306,0.006,0.13,0.087,0.202,0.297,0.405,0.552,430.0,1.005,0.1452806896551724,9.206896551724139
prob01[100],0.305,0.006,0.13,0.087,0.202,0.297,0.404,0.552,430.0,1.005,0.15494827586206894,9.206896551724139
prob01[101],0.305,0.006,0.13,0.087,0.202,0.297,0.404,0.552,430.0,1.005,0.1646158620689655,9.206896551724139
prob01[102],0.305,0.006,0.13,0.087,0.202,0.297,0.404,0.552,430.0,1.005,0.17428344827586206,9.206896551724139
prob01[103],0.305,0.006,0.13,0.087,0.202,0.297,0.404,0.552,430.0,1.005,0.18395103448275862,9.206896551724139
prob01[104],0.305,0.006,0.13,0.087,0.202,0.297,0.404,0.553,431.0,1.005,0.19361862068965516,9.206896551724139
prob01[105],0.305,0.006,0.13,0.087,0.202,0.297,0.404,0.553,431.0,1.005,0.20328620689655172,9.206896551724139
prob01[106],0.305,0.006,0.13,0.087,0.202,0.297,0.404,0.552,431.0,1.005,0.21295379310344825,9.206896551724139
prob01[107],0.305,0.006,0.13,0.087,0.202,0.296,0.404,0.552,431.0,1.005,0.2226213793103448,9.206896551724139
prob01[108],0.305,0.006,0.13,0.086,0.202,0.296,0.404,0.552,432.0,1.005,0.23228896551724137,9.206896551724139
prob01[109],0.305,0.006,0.13,0.086,0.202,0.296,0.404,0.552,432.0,1.005,0.2419565517241379,9.206896551724139
prob01[110],0.305,0.006,0.13,0.086,0.202,0.296,0.404,0.552,432.0,1.005,0.25162413793103444,9.206896551724139
prob01[111],0.304,0.006,0.13,0.086,0.201,0.296,0.404,0.552,433.0,1.005,0.261291724137931,9.206896551724139
prob01[112],0.304,0.006,0.13,0.086,0.201,0.296,0.404,0.552,433.0,1.005,0.27095931034482756,9.206896551724139
prob01[113],0.304,0.006,0.13,0.086,0.201,0.296,0.403,0.552,433.0,1.005,0.2806268965517241,9.206896551724139
prob01[114],0.304,0.006,0.13,0.085,0.201,0.295,0.404,0.551,434.0,1.005,0.2902944827586207,9.206896551724139
prob01[115],0.304,0.006,0.13,0.085,0.201,0.295,0.403,0.551,434.0,1.005,0.29996206896551725,9.206896551724139
prob01[116],0.304,0.006,0.13,0.085,0.201,0.295,0.403,0.551,435.0,1.005,0.3096296551724138,9.206896551724139
prob01[117],0.304,0.006,0.13,0.085,0.201,0.295,0.403,0.552,435.0,1.005,0.3192972413793103,9.206896551724139
prob01[118],0.304,0.006,0.13,0.085,0.201,0.295,0.403,0.552,436.0,1.005,0.3289648275862069,9.206896551724139
prob01[119],0.304,0.006,0.13,0.085,0.201,0.295,0.403,0.551,436.0,1.004,0.33863241379310344,9.206896551724139
prob01[120],0.304,0.006,0.13,0.085,0.201,0.295,0.403,0.551,437.0,1.004,0.3483,9.206896551724139
prob01[121],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.548,429.0,1.005,0.06794,9.275862068965518
prob01[122],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.548,429.0,1.005,0.07760758620689655,9.275862068965518
prob01[123],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.548,429.0,1.005,0.0872751724137931,9.275862068965518
prob01[124],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.548,429.0,1.005,0.09694275862068966,9.275862068965518
prob01[125],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.547,429.0,1.005,0.1066103448275862,9.275862068965518
prob01[126],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.547,429.0,1.005,0.11627793103448275,9.275862068965518
prob01[127],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.547,429.0,1.005,0.1259455172413793,9.275862068965518
prob01[128],0.311,0.006,0.126,0.095,0.211,0.304,0.407,0.547,429.0,1.005,0.13561310344827587,9.275862068965518
prob01[129],0.31,0.006,0.126,0.095,0.211,0.303,0.407,0.547,429.0,1.005,0.1452806896551724,9.275862068965518
prob01[130],0.31,0.006,0.126,0.095,0.211,0.304,0.407,0.547,430.0,1.005,0.15494827586206894,9.275862068965518
prob01[131],0.31,0.006,0.126,0.095,0.211,0.303,0.407,0.547,430.0,1.005,0.1646158620689655,9.275862068965518
prob01[132],0.31,0.006,0.126,0.095,0.211,0.303,0.407,0.547,430.0,1.005,0.17428344827586206,9.275862068965518
prob01[133],0.31,0.006,0.126,0.095,0.211,0.303,0.407,0.547,430.0,1.005,0.18395103448275862,9.275862068965518
prob01[134],0.31,0.006,0.126,0.095,0.211,0.303,0.406,0.547,430.0,1.005,0.19361862068965516,9.275862068965518
prob01[135],0.31,0.006,0.126,0.095,0.211,0.303,0.407,0.547,431.0,1.005,0.20328620689655172,9.275862068965518
prob01[136],0.31,0.006,0.126,0.095,0.211,0.303,0.406,0.547,431.0,1.005,0.21295379310344825,9.275862068965518
prob01[137],0.31,0.006,0.126,0.094,0.21,0.303,0.406,0.547,431.0,1.005,0.2226213793103448,9.275862068965518
prob01[138],0.31,0.006,0.126,0.094,0.21,0.303,0.406,0.547,432.0,1.005,0.23228896551724137,9.275862068965518
prob01[139],0.31,0.006,0.126,0.094,0.21,0.302,0.406,0.547,432.0,1.005,0.2419565517241379,9.275862068965518
prob01[140],0.309,0.006,0.126,0.094,0.21,0.302,0.406,0.547,432.0,1.005,0.25162413793103444,9.275862068965518
prob01[141],0.309,0.006,0.126,0.094,0.21,0.302,0.406,0.547,433.0,1.005,0.261291724137931,9.275862068965518
prob01[142],0.309,0.006,0.126,0.094,0.21,0.302,0.406,0.547,433.0,1.005,0.27095931034482756,9.275862068965518
prob01[143],0.309,0.006,0.126,0.094,0.21,0.302,0.406,0.547,434.0,1.005,0.2806268965517241,9.275862068965518
prob01[144],0.309,0.006,0.126,0.093,0.21,0.302,0.406,0.547,434.0,1.005,0.2902944827586207,9.275862068965518
prob01[145],0.309,0.006,0.126,0.093,0.21,0.302,0.406,0.547,434.0,1.005,0.29996206896551725,9.275862068965518
prob01[146],0.309,0.006,0.126,0.093,0.21,0.302,0.406,0.547,435.0,1.005,0.3096296551724138,9.275862068965518
prob01[147],0.309,0.006,0.126,0.093,0.21,0.301,0.406,0.547,435.0,1.004,0.3192972413793103,9.275862068965518
prob01[148],0.309,0.006,0.126,0.093,0.21,0.301,0.406,0.547,436.0,1.004,0.3289648275862069,9.275862068965518
prob01[149],0.309,0.006,0.126,0.092,0.209,0.301,0.406,0.547,437.0,1.004,0.33863241379310344,9.275862068965518
prob01[150],0.308,0.006,0.126,0.092,0.209,0.301,0.405,0.546,437.0,1.004,0.3483,9.275862068965518
prob01[151],0.316,0.006,0.122,0.103,0.22,0.311,0.41,0.544,428.0,1.005,0.06794,9.344827586206897
prob01[152],0.316,0.006,0.122,0.103,0.22,0.31,0.41,0.543,428.0,1.005,0.07760758620689655,9.344827586206897
prob01[153],0.316,0.006,0.122,0.103,0.22,0.31,0.41,0.543,428.0,1.005,0.0872751724137931,9.344827586206897
prob01[154],0.316,0.006,0.122,0.103,0.22,0.31,0.409,0.543,428.0,1.005,0.09694275862068966,9.344827586206897
prob01[155],0.316,0.006,0.122,0.104,0.22,0.31,0.409,0.543,429.0,1.005,0.1066103448275862,9.344827586206897
prob01[156],0.316,0.006,0.122,0.104,0.22,0.31,0.409,0.543,429.0,1.005,0.11627793103448275,9.344827586206897
prob01[157],0.316,0.006,0.122,0.103,0.22,0.31,0.41,0.543,429.0,1.005,0.1259455172413793,9.344827586206897
prob01[158],0.316,0.006,0.122,0.103,0.219,0.31,0.409,0.543,429.0,1.005,0.13561310344827587,9.344827586206897
prob01[159],0.316,0.006,0.122,0.104,0.219,0.31,0.409,0.543,429.0,1.005,0.1452806896551724,9.344827586206897
prob01[160],0.315,0.006,0.122,0.103,0.219,0.31,0.409,0.543,429.0,1.005,0.15494827586206894,9.344827586206897
prob01[161],0.315,0.006,0.122,0.103,0.22,0.31,0.409,0.543,430.0,1.005,0.1646158620689655,9.344827586206897
prob01[162],0.315,0.006,0.122,0.103,0.22,0.309,0.409,0.542,430.0,1.005,0.17428344827586206,9.344827586206897
prob01[163],0.315,0.006,0.122,0.103,0.22,0.309,0.409,0.543,430.0,1.005,0.18395103448275862,9.344827586206897
prob01[164],0.315,0.006,0.122,0.103,0.22,0.309,0.409,0.543,430.0,1.005,0.19361862068965516,9.344827586206897
prob01[165],0.315,0.006,0.122,0.103,0.22,0.309,0.409,0.542,431.0,1.005,0.20328620689655172,9.344827586206897
prob01[166],0.315,0.006,0.122,0.103,0.219,0.309,0.409,0.542,431.0,1.005,0.21295379310344825,9.344827586206897
prob01[167],0.315,0.006,0.122,0.103,0.219,0.309,0.409,0.542,431.0,1.005,0.2226213793103448,9.344827586206897
prob01[168],0.315,0.006,0.122,0.103,0.219,0.309,0.409,0.542,432.0,1.005,0.23228896551724137,9.344827586206897
prob01[169],0.315,0.006,0.122,0.103,0.219,0.309,0.409,0.542,432.0,1.005,0.2419565517241379,9.344827586206897
prob01[170],0.315,0.006,0.122,0.103,0.219,0.309,0.409,0.542,432.0,1.005,0.25162413793103444,9.344827586206897
prob01[171],0.314,0.006,0.122,0.103,0.219,0.309,0.408,0.542,433.0,1.005,0.261291724137931,9.344827586206897
prob01[172],0.314,0.006,0.122,0.103,0.219,0.308,0.408,0.542,433.0,1.005,0.27095931034482756,9.344827586206897
prob01[173],0.314,0.006,0.122,0.102,0.219,0.308,0.408,0.542,434.0,1.005,0.2806268965517241,9.344827586206897
prob01[174],0.314,0.006,0.122,0.102,0.219,0.308,0.408,0.541,434.0,1.005,0.2902944827586207,9.344827586206897
prob01[175],0.314,0.006,0.122,0.102,0.219,0.308,0.408,0.541,435.0,1.005,0.29996206896551725,9.344827586206897
prob01[176],0.314,0.006,0.122,0.102,0.219,0.308,0.408,0.541,435.0,1.004,0.3096296551724138,9.344827586206897
prob01[177],0.314,0.006,0.122,0.101,0.219,0.308,0.408,0.541,436.0,1.004,0.3192972413793103,9.344827586206897
prob01[178],0.314,0.006,0.122,0.101,0.218,0.307,0.408,0.541,436.0,1.004,0.3289648275862069,9.344827586206897
prob01[179],0.314,0.006,0.122,0.101,0.218,0.307,0.407,0.541,437.0,1.004,0.33863241379310344,9.344827586206897
prob01[180],0.314,0.006,0.122,0.101,0.218,0.307,0.407,0.541,438.0,1.004,0.3483,9.344827586206897
prob01[181],0.322,0.006,0.118,0.112,0.229,0.317,0.413,0.539,428.0,1.005,0.06794,9.413793103448276
prob01[182],0.321,0.006,0.118,0.112,0.229,0.317,0.413,0.539,428.0,1.005,0.07760758620689655,9.413793103448276
prob01[183],0.321,0.006,0.118,0.112,0.229,0.317,0.413,0.539,428.0,1.005,0.0872751724137931,9.413793103448276
prob01[184],0.321,0.006,0.118,0.113,0.229,0.317,0.413,0.538,428.0,1.005,0.09694275862068966,9.413793103448276
prob01[185],0.321,0.006,0.118,0.113,0.229,0.316,0.412,0.538,428.0,1.005,0.1066103448275862,9.413793103448276
prob01[186],0.321,0.006,0.118,0.113,0.229,0.316,0.412,0.538,428.0,1.005,0.11627793103448275,9.413793103448276
prob01[187],0.321,0.006,0.118,0.113,0.229,0.316,0.412,0.538,429.0,1.005,0.1259455172413793,9.413793103448276
prob01[188],0.321,0.006,0.118,0.113,0.229,0.316,0.412,0.538,429.0,1.005,0.13561310344827587,9.413793103448276
prob01[189],0.321,0.006,0.118,0.112,0.229,0.316,0.412,0.538,429.0,1.005,0.1452806896551724,9.413793103448276
prob01[190],0.321,0.006,0.118,0.112,0.229,0.316,0.412,0.537,429.0,1.005,0.15494827586206894,9.413793103448276
prob01[191],0.321,0.006,0.118,0.112,0.229,0.316,0.412,0.537,429.0,1.005,0.1646158620689655,9.413793103448276
prob01[192],0.321,0.006,0.118,0.112,0.229,0.316,0.412,0.537,430.0,1.005,0.17428344827586206,9.413793103448276
prob01[193],0.32,0.006,0.118,0.112,0.229,0.316,0.412,0.537,430.0,1.005,0.18395103448275862,9.413793103448276
prob01[194],0.32,0.006,0.118,0.113,0.228,0.316,0.412,0.537,430.0,1.005,0.19361862068965516,9.413793103448276
prob01[195],0.32,0.006,0.118,0.112,0.229,0.316,0.412,0.537,430.0,1.005,0.20328620689655172,9.413793103448276
prob01[196],0.32,0.006,0.118,0.112,0.228,0.316,0.411,0.537,431.0,1.005,0.21295379310344825,9.413793103448276
prob01[197],0.32,0.006,0.118,0.112,0.228,0.315,0.411,0.537,431.0,1.005,0.2226213793103448,9.413793103448276
prob01[198],0.32,0.006,0.118,0.112,0.228,0.315,0.411,0.537,431.0,1.005,0.23228896551724137,9.413793103448276
prob01[199],0.32,0.006,0.118,0.112,0.228,0.315,0.411,0.536,432.0,1.005,0.2419565517241379,9.413793103448276
prob01[200],0.32,0.006,0.118,0.112,0.228,0.315,0.411,0.536,432.0,1.005,0.25162413793103444,9.413793103448276
prob01[201],0.32,0.006,0.118,0.112,0.228,0.315,0.411,0.536,433.0,1.005,0.261291724137931,9.413793103448276
prob01[202],0.32,0.006,0.118,0.112,0.228,0.315,0.411,0.536,433.0,1.005,0.27095931034482756,9.413793103448276
prob01[203],0.319,0.006,0.118,0.111,0.228,0.314,0.411,0.537,434.0,1.005,0.2806268965517241,9.413793103448276
prob01[204],0.319,0.006,0.118,0.111,0.228,0.314,0.411,0.536,434.0,1.004,0.2902944827586207,9.413793103448276
prob01[205],0.319,0.006,0.118,0.111,0.227,0.314,0.411,0.537,435.0,1.004,0.29996206896551725,9.413793103448276
prob01[206],0.319,0.006,0.118,0.111,0.227,0.314,0.411,0.536,436.0,1.004,0.3096296551724138,9.413793103448276
prob01[207],0.319,0.006,0.118,0.111,0.227,0.314,0.411,0.536,436.0,1.004,0.3192972413793103,9.413793103448276
prob01[208],0.319,0.006,0.118,0.11,0.227,0.314,0.411,0.536,437.0,1.004,0.3289648275862069,9.413793103448276
prob01[209],0.319,0.006,0.118,0.11,0.227,0.314,0.41,0.536,438.0,1.004,0.33863241379310344,9.413793103448276
prob01[210],0.319,0.006,0.118,0.11,0.227,0.314,0.41,0.536,438.0,1.004,0.3483,9.413793103448276
prob01[211],0.327,0.006,0.114,0.122,0.238,0.324,0.415,0.533,428.0,1.005,0.06794,9.482758620689655
prob01[212],0.327,0.006,0.114,0.122,0.238,0.323,0.415,0.533,428.0,1.005,0.07760758620689655,9.482758620689655
prob01[213],0.327,0.006,0.114,0.122,0.238,0.324,0.415,0.534,428.0,1.005,0.0872751724137931,9.482758620689655
prob01[214],0.327,0.006,0.114,0.122,0.238,0.323,0.415,0.533,428.0,1.005,0.09694275862068966,9.482758620689655
prob01[215],0.327,0.006,0.114,0.122,0.238,0.323,0.415,0.533,428.0,1.005,0.1066103448275862,9.482758620689655
prob01[216],0.327,0.006,0.114,0.122,0.238,0.323,0.415,0.533,428.0,1.005,0.11627793103448275,9.482758620689655
prob01[217],0.326,0.006,0.114,0.122,0.238,0.323,0.415,0.533,428.0,1.005,0.1259455172413793,9.482758620689655
prob01[218],0.326,0.006,0.114,0.123,0.238,0.323,0.415,0.533,428.0,1.005,0.13561310344827587,9.482758620689655
prob01[219],0.326,0.006,0.114,0.122,0.238,0.322,0.414,0.533,429.0,1.005,0.1452806896551724,9.482758620689655
prob01[220],0.326,0.006,0.114,0.122,0.238,0.322,0.414,0.533,429.0,1.005,0.15494827586206894,9.482758620689655
prob01[221],0.326,0.005,0.114,0.122,0.238,0.322,0.414,0.533,429.0,1.005,0.1646158620689655,9.482758620689655
prob01[222],0.326,0.005,0.114,0.122,0.238,0.322,0.414,0.532,429.0,1.005,0.17428344827586206,9.482758620689655
prob01[223],0.326,0.005,0.114,0.122,0.238,0.322,0.414,0.532,430.0,1.005,0.18395103448275862,9.482758620689655
prob01[224],0.326,0.005,0.114,0.122,0.238,0.322,0.414,0.532,430.0,1.005,0.19361862068965516,9.482758620689655
