,MDEGREE,CATAID,Z,<logAge>,<[M/H]>,MASS2LIGHT_R,S2N_runz,CHI2_PPXF,SIGMA,VELOCITY
count,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
mean,150.0,617024.0459770114,0.18001781609195402,9.787460172360513,-0.35327627333848555,2.399222028063756,11.007011494252872,0.009891027200250927,959.102800727737,49839.460340674144
std,0.0,1062174.941622677,0.04915433072371159,0.2336125151979306,0.22849128934644136,0.8083223843745451,3.4941692677887497,0.010415505138935676,95.11610061740122,12269.465684811103
min,150.0,6840.0,0.06939,7.918664347499106,-1.1107476121175537,0.15938403333011056,3.48,0.0017272245583715314,499.9982239737628,20604.77892394168
25%,150.0,84830.5,0.14881,9.792032533074474,-0.42085203795800374,2.095156378004498,8.575,0.003428292278074597,970.1573020821897,41559.575367696234
50%,150.0,289261.0,0.1746,9.826220579186284,-0.23383202727652005,2.5624704238723397,11.04,0.0057314249422482045,1000.0,49390.69310843791
75%,150.0,555050.0,0.20538,9.8786509711388,-0.19644083070760743,3.0446901570115266,13.625,0.01185419998131926,1000.0,56240.95131206409
max,150.0,3909928.0,0.29494000000000004,9.938464481205854,-0.1897035269289289,3.5557705504898935,18.8,0.05564965870238705,1000.0,77010.81733797315
