,MDEGREE,CATAID,Z,<logAge>,<[M/H]>,MASS2LIGHT_R,S2N_runz,CHI2_PPXF,SIGMA,VELOCITY
count,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
mean,200.0,617024.0459770114,0.18001781609195402,9.79408500070458,-0.39387285406330896,2.296339558004638,11.007011494252872,0.009891027200250927,930.6404103732995,49853.562971200656
std,0.0,1062174.941622677,0.04915433072371159,0.13429121183842788,0.24011879764447444,0.8031163925929511,3.4941692677887497,0.010415505138935676,148.06467702560482,12503.932472795545
min,200.0,6840.0,0.06939,8.98434599631369,-1.1185187883644143,0.4046482597396553,3.48,0.0017272245583715314,305.5859447175984,19198.12438763964
25%,200.0,84830.5,0.14881,9.765850765265222,-0.5951577769850325,1.6789632128005056,8.575,0.003428292278074597,938.1015802619725,42058.49595093394
50%,200.0,289261.0,0.1746,9.82321792129393,-0.252247187156078,2.464036579602184,11.04,0.0057314249422482045,1000.0,49240.77140900772
75%,200.0,555050.0,0.20538,9.878263279544813,-0.19751924224594666,3.040836104412389,13.625,0.01185419998131926,1000.0,56489.046026467186
max,200.0,3909928.0,0.29494000000000004,9.937203758100672,-0.1936033930656868,3.543895698969449,18.8,0.05564965870238705,1000.0,77242.0792698024
