,MDEGREE,CATAID,Z,<logAge>,<[M/H]>,MASS2LIGHT_R,S2N_runz,CHI2_PPXF,SIGMA,VELOCITY
count,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
mean,230.0,617024.0459770114,0.18001781609195402,9.796420912533002,-0.3899900660206377,2.3079818358438393,11.007011494252872,0.009891027200250927,933.1503728247767,49849.12824553742
std,0.0,1062174.941622677,0.04915433072371159,0.12808163617252075,0.22643551722831945,0.7683399566433419,3.4941692677887497,0.010415505138935676,143.70791932886854,12391.559061755976
min,230.0,6840.0,0.06939,9.023989199572572,-1.1160163749143437,0.3037818808074058,3.48,0.0017272245583715314,240.6766082024058,18112.79754302218
25%,230.0,84830.5,0.14881,9.771994581103264,-0.609356241746098,1.7775891329855251,8.575,0.003428292278074597,925.4731017539798,42007.380254149364
50%,230.0,289261.0,0.1746,9.81073432476544,-0.2654715078695735,2.417624409175852,11.04,0.0057314249422482045,1000.0,48992.15993302273
75%,230.0,555050.0,0.20538,9.876355412100441,-0.20010255024484663,3.0100823460329833,13.625,0.01185419998131926,1000.0,56316.23765904884
max,230.0,3909928.0,0.29494000000000004,9.935452211219712,-0.1909771563307765,3.529004431887368,18.8,0.05564965870238705,1000.0,77469.58540261078
